"","sample","latitude","longitude","Class","depth","slope4","slope8","aspect4","aspect8","tpi","tri","roughness","flowdir"
"818","PR_20150527_084406_439_AC16",-33.5921049,115.213689,"Seagrasses",-15.801700592041,0.989895231117042,0.989895231117042,4.28749477443345,4.28749477443345,0.0428400039672852,0.132293224334717,0.367938041687012,1
"819","PR_20150527_084416_941_AC16",-33.5920061,115.21369,"Seagrasses",-16.0307540893555,1.02587173432411,1.02587173432411,2.68413572589405,2.68413572589405,-0.0372633934020996,0.13600492477417,0.372102737426758,1
"820","PR_20150527_084427_443_AC16",-33.5919091,115.2136981,"Seagrasses",-16.1902370452881,0.139562998656452,0.139562998656452,337.375121628462,337.375121628462,-0.00788998603820801,0.0202348232269287,0.0638332366943359,16
"821","PR_20150527_084437_946_AC16",-33.5918148,115.2137068,"Unconsolidated",-16.2059726715088,0.177906927727709,0.177906927727709,329.822888669121,329.822888669121,0.00515341758728027,0.0243117809295654,0.0854053497314453,16
"822","PR_20150527_084448_449_AC16",-33.5917482,115.2136683,"Unconsolidated",-16.2192554473877,0.175050694099832,0.175050694099832,347.61047220557,347.61047220557,0.00208783149719238,0.0232980251312256,0.0703334808349609,16
"823","PR_20150527_084458_952_AC16",-33.5917881,115.2135742,"Unconsolidated",-16.2199649810791,0.161736598051288,0.161736598051288,0.895907184412714,0.895907184412714,0.00599861145019531,0.0221004486083984,0.0657081604003906,128
"824","PR_20150527_084509_455_AC16",-33.5918955,115.2135885,"Unconsolidated",-16.2011089324951,0.164035266907905,0.164035266907905,352.576821408342,352.576821408342,-0.00824594497680664,0.0219898223876953,0.0615901947021484,16
"825","PR_20150527_084519_958_AC16",-33.5920188,115.2135866,"Seagrasses",-16.0205421447754,1.06553513520527,1.06553513520527,1.04853404342413,1.04853404342413,-0.0313516855239868,0.140792489051819,0.390229225158691,1
"826","PR_20150527_084530_461_AC16",-33.592134,115.2135936,"Seagrasses",-15.801700592041,0.989895231117042,0.989895231117042,4.28749477443345,4.28749477443345,0.0428400039672852,0.132293224334717,0.367938041687012,1
"827","PR_20150527_084540_964_AC16",-33.5922478,115.2135932,"Seagrasses",-15.6869134902954,0.451125153227187,0.451125153227187,11.1533332193813,11.1533332193813,0.0282278060913086,0.0625462532043457,0.191617965698242,1
"828","PR_20150527_084551_468_AC16",-33.592357,115.2135955,"Seagrasses",-15.6548986434937,0.337856709800881,0.337856709800881,16.2050734622862,16.2050734622862,-0.0219132900238037,0.0464708805084229,0.145625114440918,1
"829","PR_20150527_084601_971_AC16",-33.5924536,115.2136209,"Seagrasses",-15.4628314971924,0.717798272190735,0.717798272190735,2.95887293595716,2.95887293595716,-0.0058143138885498,0.0939209461212158,0.284581184387207,1
"830","PR_20150527_084612_474_AC16",-33.5924589,115.2137091,"Seagrasses",-15.4836025238037,0.7472281827329,0.7472281827329,2.65071966408092,2.65071966408092,-0.028143048286438,0.101231455802917,0.284581184387207,64
"831","PR_20150527_084622_977_AC16",-33.5923913,115.2137459,"Seagrasses",-15.5906257629395,0.513137169272482,0.513137169272482,0.770666985640019,0.770666985640019,-0.0243343114852905,0.0709840059280396,0.1961669921875,64
"832","PR_20150527_084633_478_AC16",-33.5922996,115.2137469,"Seagrasses",-15.6589984893799,0.340956273111879,0.340956273111879,1.93896007353411,1.93896007353411,-0.0152950286865234,0.0477933883666992,0.144937515258789,128
"833","PR_20150527_084643_979_AC16",-33.5922049,115.2137542,"Seagrasses",-15.7013492584229,0.479838250510157,0.479838250510157,8.04986261558957,8.04986261558957,0.0268644094467163,0.0668662786483765,0.197776794433594,1
"834","PR_20150527_084654_480_AC16",-33.5921115,115.2137682,"Seagrasses",-15.8175373077393,0.971386083905151,0.971386083905151,5.47708881779454,5.47708881779454,0.0409116744995117,0.131276607513428,0.360377311706543,1
"835","PR_20150527_084704_982_AC16",-33.5920158,115.2137829,"Seagrasses",-16.038501739502,0.977544014656829,0.977544014656829,2.94815479230333,2.94815479230333,-0.0364809036254883,0.128933906555176,0.360565185546875,1
"836","PR_20150527_084715_484_AC16",-33.5919239,115.2137924,"Unconsolidated",-16.1622657775879,0.427634081736974,0.427634081736974,359.042144555359,359.042144555359,-0.0383815765380859,0.0567483901977539,0.164108276367188,32
"837","PR_20150527_084725_986_AC16",-33.5918307,115.2138058,"Unconsolidated",-16.1902370452881,0.139562998656452,0.139562998656452,337.375121628462,337.375121628462,-0.00788998603820801,0.0202348232269287,0.0638332366943359,16
"2741","LGBDT2_1748",-33.58843333,115.1823,"Seagrasses",-18.3875122070312,0.431676963902896,0.431676963902896,354.319796791165,354.319796791165,-0.0975744724273682,0.0998814105987549,0.203098297119141,32
"2752","LGBDT2_1750",-33.58836667,115.18235,"Seagrasses",-18.3635482788086,0.241449412195047,0.241449412195047,244.297683183555,244.297683183555,-0.0198879241943359,0.0406861305236816,0.125959396362305,16
"2761","LGBDT2_1757",-33.58816667,115.18255,"Seagrasses",-18.4750366210938,0.433121300814973,0.433121300814973,22.6057878858664,22.6057878858664,-0.0174629688262939,0.0574491024017334,0.224550247192383,64
"2771","LGBDT2_1792",-33.58708333,115.1828833,"Seagrasses",-18.9774932861328,0.12791645104982,0.12791645104982,278.938362309077,278.938362309077,-0.00571823120117188,0.0188188552856445,0.0597438812255859,16
"2782","LGBDT2_1799",-33.58686667,115.1829,"Seagrasses",-18.9341411590576,0.199460067223458,0.199460067223458,222.881731233316,222.881731233316,0.0211303234100342,0.028825044631958,0.0989418029785156,16
"2791","LGBDT2_1800",-33.58685,115.1829167,"Seagrasses",-18.909330368042,0.0719701856715616,0.0719701856715616,267.333094894883,267.333094894883,0.0384895801544189,0.0384895801544189,0.0819187164306641,16
"2802","LGBDT2_1812",-33.58648333,115.1831,"Seagrasses",-18.9468193054199,0.333675281597792,0.333675281597792,357.93764638304,357.93764638304,0.0191099643707275,0.0433986186981201,0.131921768188477,16
"2812","LGBDT2_1814",-33.58641667,115.1831,"Seagrasses",-18.9468193054199,0.333675281597792,0.333675281597792,357.93764638304,357.93764638304,0.0191099643707275,0.0433986186981201,0.131921768188477,16
"2822","LGBDT2_1827",-33.58601667,115.1833167,"Seagrasses",-19.2264080047607,0.355792234626815,0.355792234626815,356.231974236999,356.231974236999,0.0214877128601074,0.0487170219421387,0.152477264404297,16
"2832","LGBDT2_1829",-33.58595,115.1833667,"Seagrasses",-19.2969627380371,0.332532052720599,0.332532052720599,347.309625919642,347.309625919642,-0.00913381576538086,0.0470914840698242,0.126289367675781,16
"2842","LGBDT2_1843",-33.58553333,115.1835333,"Unconsolidated",-19.310905456543,0.310022442578687,0.310022442578687,295.178342961441,295.178342961441,0.0290381908416748,0.0436866283416748,0.176261901855469,16
"2851","LGBDT2_1850",-33.58528333,115.1836333,"Unconsolidated",-19.4234600067139,0.399121228445128,0.399121228445128,345.080819881436,345.080819881436,0.0347027778625488,0.0611028671264648,0.199428558349609,16
"2862","LGBDT2_1852",-33.58523333,115.1836667,"Unconsolidated",-19.5024089813232,0.41297252977939,0.41297252977939,343.991304570467,343.991304570467,0.0209712982177734,0.0551743507385254,0.17835807800293,16
"2871","LGBDT2_1883",-33.5843,115.1840667,"Seagrasses",-19.9978199005127,0.0532697906123109,0.0532697906123109,121.512282283485,121.512282283485,0.00924229621887207,0.0217044353485107,0.0808162689208984,1
"2882","LGBDT2_1885",-33.58425,115.1841,"Unconsolidated",-19.9978199005127,0.0532697906123109,0.0532697906123109,121.512282283485,121.512282283485,0.00924229621887207,0.0217044353485107,0.0808162689208984,1
"2892","LGBDT2_1887",-33.58418333,115.1841,"Seagrasses",-19.967399597168,0.276183297506964,0.276183297506964,182.45588895856,182.45588895856,0.0152854919433594,0.0455565452575684,0.146778106689453,16
"2902","LGBDT2_1889",-33.58411667,115.1841,"Seagrasses",-19.9014377593994,0.319682129526474,0.319682129526474,196.424461461962,196.424461461962,0.0380244255065918,0.0551881790161133,0.145112991333008,16
"2912","LGBDT2_1908",-33.58351667,115.1843,"Unconsolidated",-20.2300090789795,0.089500552777943,0.089500552777943,130.53077261714,130.53077261714,-0.00539064407348633,0.0144543647766113,0.0406475067138672,1
"2921","LGBDT2_1927",-33.58293333,115.1845167,"Seagrasses",-20.3696365356445,0.03462075181915,0.03462075181915,278.712615687695,278.712615687695,-0.0211265087127686,0.0211265087127686,0.0577945709228516,2
"2932","LGBDT2_1935",-33.58268333,115.1846,"Unconsolidated",-20.3429718017578,0.208300057966237,0.208300057966237,312.847509479476,312.847509479476,-0.00463032722473145,0.0278418064117432,0.117715835571289,16
"2942","LGBDT2_1944",-33.58241667,115.1846667,"Seagrasses",-20.3652744293213,0.216040578421999,0.216040578421999,345.100184264191,345.100184264191,0.0159294605255127,0.0299932956695557,0.0866336822509766,16
"2951","LGBDT2_1947",-33.58231667,115.1847333,"Seagrasses",-20.4210510253906,0.380267566058948,0.380267566058948,349.476081212445,349.476081212445,0.00841259956359863,0.0507881641387939,0.155450820922852,16
"2962","LGBDT2_1967",-33.58173333,115.18505,"Seagrasses",-20.7245349884033,0.49687260253752,0.49687260253752,343.046712261224,343.046712261224,0.00251865386962891,0.0687551498413086,0.228761672973633,16
"2972","LGBDT2_1972",-33.58156667,115.18515,"Seagrasses",-20.8579216003418,0.270682150210147,0.270682150210147,354.802527311732,354.802527311732,-0.0100982189178467,0.0355560779571533,0.0992164611816406,16
"2981","LGBDT2_1981",-33.58126667,115.1852,"Seagrasses",-21.0343170166016,0.598427056154439,0.598427056154439,312.07220432425,312.07220432425,-0.0166893005371094,0.0745177268981934,0.298871994018555,16
"2991","LGBDT2_1984",-33.58118333,115.1852333,"Seagrasses",-21.0343170166016,0.598427056154439,0.598427056154439,312.07220432425,312.07220432425,-0.0166893005371094,0.0745177268981934,0.298871994018555,16
"3002","LGBDT2_1988",-33.58106667,115.18535,"Seagrasses",-21.1090335845947,0.523208940112833,0.523208940112833,332.866981496754,332.866981496754,0.0101518630981445,0.0705995559692383,0.250410079956055,16
"3012","LGBDT2_1990",-33.58098333,115.1853667,"Unconsolidated",-21.1956615447998,0.464971991086657,0.464971991086657,338.814521642267,338.814521642267,-0.00231719017028809,0.0623753070831299,0.202293395996094,16
"3022","LGBDT2_1994",-33.58086667,115.1854,"Seagrasses",-21.2699661254883,0.274560245997756,0.274560245997756,321.79171693035,321.79171693035,-0.0287196636199951,0.0456955432891846,0.132644653320312,16
"3031","LGBDT2_1996",-33.58078333,115.1854,"Unconsolidated",-21.2878150939941,0.30332305967818,0.30332305967818,256.527735697743,256.527735697743,-0.0357260704040527,0.0466370582580566,0.182374954223633,16
"3041","LGBDT2_2001",-33.58061667,115.18545,"Unconsolidated",-21.1264495849609,0.416820413249175,0.416820413249175,299.020356880897,299.020356880897,0.0684325695037842,0.0773875713348389,0.176464080810547,16
"3051","LGBDT2_2004",-33.58051667,115.18555,"Seagrasses",-21.2076644897461,0.501115399120109,0.501115399120109,5.76068482194232,5.76068482194232,0.00648188591003418,0.0671226978302002,0.193624496459961,1
"3061","LGBDT2_2018",-33.58005,115.1856833,"Unconsolidated",-21.5109119415283,0.276438516793987,0.276438516793987,25.6543282507394,25.6543282507394,-0.0161411762237549,0.0388648509979248,0.126667022705078,1
"3071","LGBDT2_2020",-33.57998333,115.1857167,"Unconsolidated",-21.534086227417,0.167445821109423,0.167445821109423,23.6732759470304,23.6732759470304,0.00109195709228516,0.0240955352783203,0.0880928039550781,1
"3082","LGBDT2_2022",-33.57991667,115.1857333,"Seagrasses",-21.5475769042969,0.128053911427513,0.128053911427513,19.0843165356284,19.0843165356284,-0.00499987602233887,0.0177481174468994,0.0600166320800781,128
"3091","LGBDT2_2025",-33.57981667,115.1857833,"Seagrasses",-21.6154632568359,0.29793680175851,0.29793680175851,5.127231694749,5.127231694749,-0.000785112380981445,0.0402357578277588,0.118148803710938,1
"3101","LGBDT2_2033",-33.57955,115.1858833,"Seagrasses",-21.7140731811523,0.173203625026441,0.173203625026441,302.727856669489,302.727856669489,-0.00402569770812988,0.021867036819458,0.0877494812011719,16
"3111","LGBDT2_2035",-33.57948333,115.1859,"Seagrasses",-21.7140731811523,0.173203625026441,0.173203625026441,302.727856669489,302.727856669489,-0.00402569770812988,0.021867036819458,0.0877494812011719,16
"3121","LGBDT2_2045",-33.57911667,115.18595,"Seagrasses",-21.7546558380127,0.191159223427151,0.191159223427151,23.9194663905267,23.9194663905267,0.00989270210266113,0.0261175632476807,0.0894451141357422,1
"3131","LGBDT2_2050",-33.57895,115.1860167,"Seagrasses",-21.8532218933105,0.293276504418999,0.293276504418999,15.0499485263076,15.0499485263076,-0.00797533988952637,0.0405943393707275,0.1319580078125,1
"3142","LGBDT2_2057",-33.57871667,115.1861,"Seagrasses",-21.9268321990967,0.130048963874186,0.130048963874186,287.572324591643,287.572324591643,-0.00737619400024414,0.0189065933227539,0.0614662170410156,16
"3152","LGBDT2_2061",-33.57856667,115.1861,"Seagrasses",-21.9224739074707,0.198590171572741,0.198590171572741,220.27385005367,220.27385005367,-0.0154986381530762,0.0295815467834473,0.0928783416748047,16
"3162","LGBDT2_2076",-33.57811667,115.1865333,"Seagrasses",-21.7477703094482,0.40306430752275,0.40306430752275,134.359472191627,134.359472191627,-0.00763750076293945,0.0499787330627441,0.17243766784668,1
"3171","LGBDT2_2083",-33.57795,115.1867833,"Seagrasses",-21.7168388366699,0.126978139828651,0.126978139828651,199.635614790471,199.635614790471,0.00666236877441406,0.0171327590942383,0.06402587890625,4
"3182","LGBDT2_2087",-33.57783333,115.1868833,"Seagrasses",-21.7185916900635,0.142091048045839,0.142091048045839,41.4216890247341,41.4216890247341,0.0123512744903564,0.0195448398590088,0.0658054351806641,1
"3192","LGBDT2_2094",-33.57758333,115.1869667,"Seagrasses",-21.7510261535645,0.117160820672417,0.117160820672417,213.842506165282,213.842506165282,-0.00487494468688965,0.0200140476226807,0.0888881683349609,16
"3201","LGBDT2_2099",-33.5774,115.1870333,"Seagrasses",-21.7111778259277,0.13678355432347,0.13678355432347,344.728701211358,344.728701211358,0.0203721523284912,0.0322940349578857,0.0960597991943359,16
"3212","LGBDT2_2103",-33.57726667,115.1871,"Seagrasses",-21.794038772583,0.357005624501892,0.357005624501892,12.2412165159888,12.2412165159888,0.0171756744384766,0.0475387573242188,0.144582748413086,1
"3222","LGBDT2_2105",-33.5772,115.1871,"Seagrasses",-21.8709373474121,0.372811344152256,0.372811344152256,9.27553815218133,9.27553815218133,-0.00360631942749023,0.049046516418457,0.141061782836914,1
"3231","LGBDT2_2108",-33.5771,115.1871667,"Seagrasses",-21.9351005554199,0.243838381179857,0.243838381179857,346.994477070812,346.994477070812,-0.0188908576965332,0.0341100692749023,0.0947628021240234,32
"3242","LGBDT2_2135",-33.5762,115.1875667,"Seagrasses",-21.8031177520752,0.0628332900134213,0.0628332900134213,320.15911232053,320.15911232053,0.0161595344543457,0.0180506706237793,0.0440826416015625,16
"3252","LGBDT2_2141",-33.57596667,115.1876167,"Seagrasses",-21.8618717193604,0.19883909789248,0.19883909789248,24.9028376950933,24.9028376950933,-0.00158429145812988,0.0270011425018311,0.0832252502441406,1
"3262","LGBDT2_2153",-33.57561667,115.18785,"Seagrasses",-21.9536399841309,0.157173823091933,0.157173823091933,186.891113549421,186.891113549421,-0.00798487663269043,0.0236785411834717,0.0812816619873047,2
"3272","LGBDT2_2155",-33.57555,115.1879,"Seagrasses",-21.9055805206299,0.0903261518920449,0.0903261518920449,306.383051764033,306.383051764033,0.0229618549346924,0.0297019481658936,0.0732498168945312,16
"3281","LGBDT2_2158",-33.57545,115.1879167,"Turf.algae",-21.9399032592773,0.182641905324402,0.182641905324402,1.76246810004737,1.76246810004737,0.0033726692199707,0.0253381729125977,0.0740947723388672,1
"3292","LGBDT2_2162",-33.57531667,115.18795,"Seagrasses",-21.9723358154297,0.148168884181833,0.148168884181833,14.4520360213039,14.4520360213039,-0.00181913375854492,0.0195112228393555,0.0675888061523438,1
"3302","LGBDT2_2165",-33.57521667,115.188,"Seagrasses",-22.0530872344971,0.249374762602489,0.249374762602489,12.6865557903509,12.6865557903509,-0.00553107261657715,0.0339577198028564,0.107824325561523,1
"3311","LGBDT2_2167",-33.57515,115.1880333,"Seagrasses",-22.0530872344971,0.249374762602489,0.249374762602489,12.6865557903509,12.6865557903509,-0.00553107261657715,0.0339577198028564,0.107824325561523,1
"3322","LGBDT2_2173",-33.57495,115.18815,"Seagrasses",-22.1263637542725,0.065920511867912,0.065920511867912,46.4798443187782,46.4798443187782,0.00316882133483887,0.012218713760376,0.0397815704345703,1
"3332","LGBDT2_2181",-33.5747,115.1883,"Seagrasses",-22.204008102417,0.264935837087869,0.264935837087869,1.60579617762073,1.60579617762073,-0.0115861892700195,0.0354652404785156,0.10284423828125,1
